episode,success,return,steps
0,0,4.987843099989707,400
1,0,2.833182639013922,400
2,0,1.9559554189640609,400
3,0,3.098446987998466,400
4,0,3.559015728225749,400
5,0,6.826390483214873,400
6,0,1.4512788447124387,400
7,0,3.936915398217481,400
8,0,4.949155922394676,400
9,0,11.708120537107177,400
10,0,6.258472650603295,400
11,0,4.262759282903718,400
12,0,3.856702723525086,400
13,0,4.3009591640873746,400
14,0,3.6101504243355587,400
15,0,7.509832778419851,400
16,0,5.563451776259796,400
17,0,6.661470561460745,400
18,0,3.834642358546191,400
19,0,6.797625061803148,400
20,0,7.037549234106362,400
21,0,5.607942875758834,400
22,0,10.635484855196708,400
23,0,2.846114186633854,400
24,0,14.781774209549651,400
